From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U
   SIZE       Flops
    139 :    26590.29 MFlops    0.000101 sec
    140 :    29826.09 MFlops    0.000092 sec
    141 :    25028.76 MFlops    0.000112 sec
    142 :    30460.51 MFlops    0.000094 sec
    143 :    30460.49 MFlops    0.000096 sec
    144 :    26660.57 MFlops    0.000112 sec
    145 :    30184.41 MFlops    0.000101 sec
    146 :    32759.33 MFlops    0.000095 sec
    147 :    24434.79 MFlops    0.000130 sec
    148 :    31473.71 MFlops    0.000103 sec
    149 :    26463.59 MFlops    0.000125 sec
    150 :    33750.00 MFlops    0.000100 sec
    151 :    25886.85 MFlops    0.000133 sec
    152 :    26404.57 MFlops    0.000133 sec
    153 :    27550.59 MFlops    0.000130 sec
    154 :    28757.98 MFlops    0.000127 sec
    155 :    28426.53 MFlops    0.000131 sec
    156 :    30371.33 MFlops    0.000125 sec
    157 :    29768.41 MFlops    0.000130 sec
    158 :    32869.27 MFlops    0.000120 sec
    159 :    28711.99 MFlops    0.000140 sec
    160 :    31267.18 MFlops    0.000131 sec
    161 :    26751.80 MFlops    0.000156 sec
    162 :    28533.74 MFlops    0.000149 sec
    163 :    31611.29 MFlops    0.000137 sec
    164 :    38025.38 MFlops    0.000116 sec
    165 :    33030.33 MFlops    0.000136 sec
    166 :    38119.13 MFlops    0.000120 sec
    167 :    34246.05 MFlops    0.000136 sec
    168 :    27408.28 MFlops    0.000173 sec
    169 :    29077.16 MFlops    0.000166 sec
    170 :    30141.10 MFlops    0.000163 sec
    171 :    31057.21 MFlops    0.000161 sec
    172 :    32828.70 MFlops    0.000155 sec
    173 :    33190.49 MFlops    0.000156 sec
    174 :    29762.85 MFlops    0.000177 sec
    175 :    29127.04 MFlops    0.000184 sec
    176 :    30800.99 MFlops    0.000177 sec
    177 :    37216.33 MFlops    0.000149 sec
    178 :    31863.01 MFlops    0.000177 sec
    179 :    31340.65 MFlops    0.000183 sec
    180 :    31354.84 MFlops    0.000186 sec
    181 :    33313.15 MFlops    0.000178 sec
    182 :    34646.94 MFlops    0.000174 sec
    183 :    32772.66 MFlops    0.000187 sec
