From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 133x133 :   15923.09 MFlops   0.000394 s
 134x134 :   12756.02 MFlops   0.000503 s
 135x135 :   12544.93 MFlops   0.000523 s
 136x136 :   15314.80 MFlops   0.000438 s
 137x137 :   15946.38 MFlops   0.000430 s
 138x138 :   14509.71 MFlops   0.000483 s
 139x139 :   14181.49 MFlops   0.000505 s
 140x140 :   16977.57 MFlops   0.000431 s
 141x141 :   15476.72 MFlops   0.000483 s
 142x142 :   15678.51 MFlops   0.000487 s
 143x143 :   16012.08 MFlops   0.000487 s
 144x144 :   16350.36 MFlops   0.000487 s
 145x145 :   15816.47 MFlops   0.000514 s
 146x146 :   17885.84 MFlops   0.000464 s
 147x147 :   15429.38 MFlops   0.000549 s
 148x148 :   17464.20 MFlops   0.000495 s
 149x149 :   16009.43 MFlops   0.000551 s
 150x150 :   17578.12 MFlops   0.000512 s
 151x151 :   18037.73 MFlops   0.000509 s
 152x152 :   20903.62 MFlops   0.000448 s
 153x153 :   18727.20 MFlops   0.000510 s
 154x154 :   19715.33 MFlops   0.000494 s
 155x155 :   19781.54 MFlops   0.000502 s
 156x156 :   19773.00 MFlops   0.000512 s
 157x157 :   20314.40 MFlops   0.000508 s
 158x158 :   19406.21 MFlops   0.000542 s
 159x159 :   19924.06 MFlops   0.000538 s
 160x160 :   22021.51 MFlops   0.000496 s
 161x161 :   21077.18 MFlops   0.000528 s
 162x162 :   19683.00 MFlops   0.000576 s
 163x163 :   21626.70 MFlops   0.000534 s
 164x164 :   19095.00 MFlops   0.000616 s
 165x165 :   20869.34 MFlops   0.000574 s
 166x166 :   20815.91 MFlops   0.000586 s
 167x167 :   25040.12 MFlops   0.000496 s
 168x168 :   24457.16 MFlops   0.000517 s
 169x169 :   22661.08 MFlops   0.000568 s
 170x170 :   22824.62 MFlops   0.000574 s
 171x171 :   22485.49 MFlops   0.000593 s
 172x172 :   24806.57 MFlops   0.000547 s
 173x173 :   25664.02 MFlops   0.000538 s
 174x174 :   25541.93 MFlops   0.000550 s
 175x175 :   24898.37 MFlops   0.000574 s
 176x176 :   25822.50 MFlops   0.000563 s
 177x177 :   25063.20 MFlops   0.000590 s
 178x178 :   25796.46 MFlops   0.000583 s
 179x179 :   25155.00 MFlops   0.000608 s
 180x180 :   25833.89 MFlops   0.000602 s
 181x181 :   25300.23 MFlops   0.000625 s
 182x182 :   25237.33 MFlops   0.000637 s
 183x183 :   24649.52 MFlops   0.000663 s
 184x184 :   26326.48 MFlops   0.000631 s
 185x185 :   25505.04 MFlops   0.000662 s
 186x186 :   25920.87 MFlops   0.000662 s
 187x187 :   25833.89 MFlops   0.000675 s
 188x188 :   26766.05 MFlops   0.000662 s
 189x189 :   24935.43 MFlops   0.000722 s
 190x190 :   24420.12 MFlops   0.000749 s
 191x191 :   26582.25 MFlops   0.000699 s
 192x192 :   27838.30 MFlops   0.000678 s
 193x193 :   25391.81 MFlops   0.000755 s
 194x194 :   27346.01 MFlops   0.000712 s
 195x195 :   25317.54 MFlops   0.000781 s
 196x196 :   27848.49 MFlops   0.000721 s
 197x197 :   27513.71 MFlops   0.000741 s
 198x198 :   30307.05 MFlops   0.000683 s
 199x199 :   28827.07 MFlops   0.000729 s
 200x200 :   30174.45 MFlops   0.000707 s
