From :   1  To : 200 Step =   1 Uplo = U Trans = N
   SIZE       Flops
      1 :        0.15 MFlops
      2 :       16.00 MFlops
      3 :       27.00 MFlops
      4 :      128.00 MFlops
      5 :      250.00 MFlops
      6 :      432.00 MFlops
      7 :         inf MFlops
      8 :         inf MFlops
      9 :     1458.00 MFlops
     10 :     2000.00 MFlops
     11 :     2662.00 MFlops
     12 :     3456.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     2730.67 MFlops
     17 :     9826.00 MFlops
     18 :    11664.00 MFlops
     19 :    13718.00 MFlops
     20 :     8000.00 MFlops
     21 :    18522.00 MFlops
     22 :    21296.00 MFlops
     23 :    12167.00 MFlops
     24 :      317.79 MFlops
     25 :     7812.50 MFlops
     26 :     7030.40 MFlops
     27 :    19683.00 MFlops
     28 :    21952.00 MFlops
     29 :    16259.33 MFlops
     30 :    18000.00 MFlops
     31 :    14895.50 MFlops
     32 :    16384.00 MFlops
     33 :    14374.80 MFlops
     34 :    19652.00 MFlops
     35 :    17150.00 MFlops
     36 :    23328.00 MFlops
     37 :    16884.33 MFlops
     38 :    15677.71 MFlops
     39 :    19773.00 MFlops
     40 :    25600.00 MFlops
     41 :    22973.67 MFlops
     42 :    24696.00 MFlops
     43 :    19876.75 MFlops
     44 :    24338.29 MFlops
     45 :    26035.71 MFlops
     46 :    24334.00 MFlops
     47 :    23071.78 MFlops
     48 :    31597.71 MFlops
     49 :    26144.22 MFlops
     50 :    27777.78 MFlops
     51 :    22108.50 MFlops
     52 :    28121.60 MFlops
     53 :    24812.83 MFlops
     54 :    24225.23 MFlops
     55 :    25596.15 MFlops
     56 :    27017.85 MFlops
     57 :    28491.23 MFlops
     58 :    21679.11 MFlops
     59 :    27383.87 MFlops
     60 :    28800.00 MFlops
     61 :    26703.65 MFlops
     62 :    25087.16 MFlops
     63 :    25004.70 MFlops
     64 :    30840.47 MFlops
     65 :    13077.38 MFlops
     66 :    15131.37 MFlops
     67 :    17691.94 MFlops
     68 :    10658.71 MFlops
     69 :    16846.62 MFlops
     70 :    25407.41 MFlops
     71 :    26511.93 MFlops
     72 :    31104.00 MFlops
     73 :    29924.38 MFlops
     74 :    31171.08 MFlops
     75 :    28125.00 MFlops
     76 :    30274.21 MFlops
     77 :    27668.67 MFlops
     78 :    31636.80 MFlops
     79 :    29881.15 MFlops
     80 :    34133.33 MFlops
     81 :    35429.40 MFlops
     82 :    39383.43 MFlops
     83 :    39433.59 MFlops
     84 :    40876.14 MFlops
     85 :    36125.00 MFlops
     86 :    21561.22 MFlops
     87 :    39909.27 MFlops
     88 :    21634.03 MFlops
     89 :    39164.94 MFlops
     90 :    24711.86 MFlops
     91 :    39661.63 MFlops
     92 :    44496.46 MFlops
     93 :    41249.08 MFlops
     94 :    38631.81 MFlops
     95 :    38971.59 MFlops
     96 :    45371.08 MFlops
     97 :    42449.91 MFlops
     98 :    40050.72 MFlops
     99 :    42186.91 MFlops
    100 :    44444.44 MFlops
    101 :    44795.70 MFlops
    102 :    44217.00 MFlops
    103 :    44601.10 MFlops
    104 :    48907.13 MFlops
    105 :    49260.64 MFlops
    106 :    48612.90 MFlops
    107 :    47117.04 MFlops
    108 :    49400.47 MFlops
    109 :    48869.02 MFlops
    110 :    49296.30 MFlops
    111 :    48843.96 MFlops
    112 :    52034.37 MFlops
    113 :    50627.96 MFlops
    114 :    50221.83 MFlops
    115 :    49060.48 MFlops
    116 :    46593.91 MFlops
    117 :    45115.86 MFlops
    118 :    47624.12 MFlops
    119 :    47469.27 MFlops
    120 :    50086.96 MFlops
    121 :    49210.03 MFlops
    122 :    47785.47 MFlops
    123 :    43785.11 MFlops
    124 :    50174.32 MFlops
    125 :    47637.20 MFlops
    126 :    44452.80 MFlops
    127 :    33038.44 MFlops
    128 :    51781.53 MFlops
    129 :    43809.98 MFlops
    130 :    27635.22 MFlops
    131 :    24704.30 MFlops
    132 :    33823.06 MFlops
    133 :    25853.15 MFlops
    134 :    39770.31 MFlops
    135 :    39683.47 MFlops
    136 :    44918.86 MFlops
    137 :    36216.24 MFlops
    138 :    55916.43 MFlops
    139 :    59680.42 MFlops
    140 :    50814.81 MFlops
    141 :    49614.53 MFlops
    142 :    52059.78 MFlops
    143 :    52217.98 MFlops
    144 :    43275.13 MFlops
    145 :    56983.64 MFlops
    146 :    56074.52 MFlops
    147 :    58284.83 MFlops
    148 :    60033.19 MFlops
    149 :    61830.82 MFlops
    150 :    64285.71 MFlops
    151 :    43859.25 MFlops
    152 :    64436.84 MFlops
    153 :    65119.58 MFlops
    154 :    41740.16 MFlops
    155 :    65331.14 MFlops
    156 :    66024.63 MFlops
    157 :    68493.68 MFlops
    158 :    68596.73 MFlops
    159 :    63804.43 MFlops
    160 :    55727.89 MFlops
    161 :    53162.82 MFlops
    162 :    70858.80 MFlops
    163 :    58921.73 MFlops
    164 :    61691.52 MFlops
    165 :    72453.63 MFlops
    166 :    72036.16 MFlops
    167 :    58584.44 MFlops
    168 :    70770.63 MFlops
    169 :    73133.47 MFlops
    170 :    71722.63 MFlops
    171 :    68030.08 MFlops
    172 :    74283.91 MFlops
    173 :    58505.28 MFlops
    174 :    70711.73 MFlops
    175 :    68709.94 MFlops
    176 :    75196.91 MFlops
    177 :    70639.91 MFlops
    178 :    70940.28 MFlops
    179 :    70806.65 MFlops
    180 :    72447.20 MFlops
    181 :    71014.86 MFlops
    182 :    66614.01 MFlops
    183 :    68859.40 MFlops
    184 :    75969.56 MFlops
    185 :    73197.98 MFlops
    186 :    72710.24 MFlops
    187 :    70694.09 MFlops
    188 :    68501.77 MFlops
    189 :    72206.09 MFlops
    190 :    70711.34 MFlops
    191 :    72962.00 MFlops
    192 :    77778.99 MFlops
    193 :    77301.69 MFlops
    194 :    76454.28 MFlops
    195 :    75277.92 MFlops
    196 :    76832.00 MFlops
    197 :    78014.01 MFlops
    198 :    70567.20 MFlops
    199 :    66784.74 MFlops
    200 :    81632.65 MFlops
