From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    141 :     3614.73 MFlops   0.000011 sec
    142 :     2240.44 MFlops   0.000018 sec
    143 :     2921.29 MFlops   0.000014 sec
    144 :     2592.00 MFlops   0.000016 sec
    145 :     2336.11 MFlops   0.000018 sec
    146 :     1776.33 MFlops   0.000024 sec
    147 :     2542.24 MFlops   0.000017 sec
    148 :     3369.85 MFlops   0.000013 sec
    149 :      422.88 MFlops   0.000105 sec
    150 :      633.80 MFlops   0.000071 sec
    151 :     2400.11 MFlops   0.000019 sec
    152 :     2567.11 MFlops   0.000018 sec
    153 :     2754.00 MFlops   0.000017 sec
    154 :     2371.60 MFlops   0.000020 sec
    155 :     3696.15 MFlops   0.000013 sec
    156 :     2561.68 MFlops   0.000019 sec
    157 :     2899.88 MFlops   0.000017 sec
    158 :     2773.78 MFlops   0.000018 sec
    159 :     3160.12 MFlops   0.000016 sec
    160 :     3200.00 MFlops   0.000016 sec
    161 :     3049.53 MFlops   0.000017 sec
    162 :     2762.53 MFlops   0.000019 sec
    163 :     2214.08 MFlops   0.000024 sec
    164 :     2689.60 MFlops   0.000020 sec
    165 :     2865.79 MFlops   0.000019 sec
    166 :     2900.63 MFlops   0.000019 sec
    167 :     2065.85 MFlops   0.000027 sec
    168 :     1764.00 MFlops   0.000032 sec
    169 :     3360.12 MFlops   0.000017 sec
    170 :      656.82 MFlops   0.000088 sec
    171 :     3078.00 MFlops   0.000019 sec
    172 :     2817.52 MFlops   0.000021 sec
    173 :     2850.38 MFlops   0.000021 sec
    174 :     3186.95 MFlops   0.000019 sec
    175 :     2663.04 MFlops   0.000023 sec
    176 :     2693.57 MFlops   0.000023 sec
    177 :     2160.62 MFlops   0.000029 sec
    178 :     4224.53 MFlops   0.000015 sec
    179 :     4272.13 MFlops   0.000015 sec
    180 :     4984.62 MFlops   0.000013 sec
    181 :     4680.14 MFlops   0.000014 sec
    182 :     5520.67 MFlops   0.000012 sec
    183 :     2480.67 MFlops   0.000027 sec
    184 :     5208.62 MFlops   0.000013 sec
    185 :     4563.33 MFlops   0.000015 sec
    186 :     5322.46 MFlops   0.000013 sec
    187 :     4371.12 MFlops   0.000016 sec
    188 :     4158.12 MFlops   0.000017 sec
    189 :     5103.00 MFlops   0.000014 sec
    190 :     4512.50 MFlops   0.000016 sec
    191 :     4291.88 MFlops   0.000017 sec
    192 :     5266.29 MFlops   0.000014 sec
    193 :     4382.24 MFlops   0.000017 sec
    194 :     5790.15 MFlops   0.000013 sec
    195 :     6337.50 MFlops   0.000012 sec
    196 :     5910.15 MFlops   0.000013 sec
    197 :     5544.14 MFlops   0.000014 sec
    198 :     6031.38 MFlops   0.000013 sec
    199 :     5657.29 MFlops   0.000014 sec
    200 :     5714.29 MFlops   0.000014 sec
