From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     76 :   1.314282e-05     5655.09 MFlops    2310.40 MFlops    5360.40 MFlops
     77 :   2.384186e-07     6243.19 MFlops    5929.00 MFlops    6230.80 MFlops
     78 :   5.811453e-06     6456.49 MFlops    5408.00 MFlops    6410.46 MFlops
     79 :   9.464100e-06     6993.46 MFlops    6241.00 MFlops    6962.75 MFlops
     80 :   2.270564e-06     6895.62 MFlops    6400.00 MFlops    6876.38 MFlops
     81 :   5.275011e-06     6913.05 MFlops    6561.00 MFlops    6899.83 MFlops
     82 :   4.440546e-06     7904.92 MFlops    6724.00 MFlops    7856.22 MFlops
     83 :   8.340925e-06     6488.36 MFlops    2204.48 MFlops    6076.45 MFlops
     84 :   4.142523e-06     5810.82 MFlops    2352.00 MFlops    5530.38 MFlops
     85 :   3.069639e-06     6323.04 MFlops    2312.00 MFlops    5969.95 MFlops
     86 :   1.662970e-05     6036.12 MFlops    2366.72 MFlops    5736.33 MFlops
     87 :   9.834766e-06     6601.53 MFlops    6055.20 MFlops    6581.74 MFlops
     88 :   3.129244e-06     8653.61 MFlops    6195.20 MFlops    8541.87 MFlops
     89 :   5.513430e-06     8623.47 MFlops    7040.89 MFlops    8560.73 MFlops
     90 :   8.970499e-06     8958.53 MFlops    6480.00 MFlops    8849.34 MFlops
     91 :   2.741814e-06     9346.62 MFlops    6624.80 MFlops    9225.65 MFlops
     92 :   3.300607e-06     9270.10 MFlops    7523.56 MFlops    9202.63 MFlops
     93 :   6.228685e-06     8249.82 MFlops    6919.20 MFlops    8200.53 MFlops
     94 :   2.086163e-06     9672.01 MFlops    7068.80 MFlops    9563.09 MFlops
     95 :   7.450581e-07     9526.39 MFlops    7220.00 MFlops    9434.13 MFlops
     96 :   8.136034e-06     9830.40 MFlops    7372.80 MFlops    9732.10 MFlops
     97 :   1.192093e-07     9813.69 MFlops    7527.20 MFlops    9725.06 MFlops
     98 :   1.639128e-07     9506.99 MFlops    7683.20 MFlops    9440.43 MFlops
     99 :   2.025068e-05    10391.42 MFlops    7128.00 MFlops   10253.35 MFlops
    100 :   7.167459e-06    10178.12 MFlops    6666.67 MFlops   10024.33 MFlops
    101 :   1.239777e-05    10486.52 MFlops    7418.91 MFlops   10362.92 MFlops
    102 :   7.599592e-06    11054.25 MFlops    6936.00 MFlops   10869.85 MFlops
    103 :   2.443790e-06    10792.37 MFlops    7072.67 MFlops   10634.08 MFlops
    104 :   1.341105e-06    12046.74 MFlops    6656.00 MFlops   11779.26 MFlops
    105 :   8.940697e-08    11391.14 MFlops    6784.62 MFlops   11180.28 MFlops
    106 :   3.814697e-06    12168.75 MFlops    6914.46 MFlops   11919.45 MFlops
    107 :   3.486872e-06    10538.00 MFlops    7045.54 MFlops   10397.44 MFlops
    108 :   1.418591e-05    12395.69 MFlops    7177.85 MFlops   12156.85 MFlops
    109 :   9.685755e-06    12467.19 MFlops    7311.38 MFlops   12236.06 MFlops
    110 :   1.966953e-06    12410.26 MFlops    7446.15 MFlops   12194.43 MFlops
    111 :   1.406670e-05     9597.41 MFlops    1589.81 MFlops    8474.17 MFlops
    112 :   5.781651e-06     1510.07 MFlops    2280.73 MFlops    1523.50 MFlops
    113 :   3.516674e-06     9117.83 MFlops    2270.04 MFlops    8457.98 MFlops
    114 :   1.080334e-05    10563.59 MFlops    6498.00 MFlops   10396.80 MFlops
    115 :   6.258488e-06    12673.96 MFlops    6612.50 MFlops   12385.32 MFlops
    116 :   1.080334e-07    12926.67 MFlops    6728.00 MFlops   12633.25 MFlops
    117 :   2.741814e-06    13141.44 MFlops    6441.88 MFlops   12808.42 MFlops
    118 :   5.006790e-06    13236.91 MFlops    6962.00 MFlops   12947.58 MFlops
    119 :   1.476705e-04    13494.77 MFlops    6664.00 MFlops   13162.99 MFlops
    120 :   8.508563e-06    13317.92 MFlops    2304.00 MFlops   11927.27 MFlops
    121 :   5.364418e-07    10337.34 MFlops    2296.63 MFlops    9530.10 MFlops
    122 :   1.354516e-05    10004.67 MFlops    2205.04 MFlops    9221.81 MFlops
    123 :   8.270144e-06    14552.23 MFlops    6724.00 MFlops   14159.73 MFlops
    124 :   2.072752e-05    14485.27 MFlops    6833.78 MFlops   14112.03 MFlops
    125 :   3.385544e-05    15009.61 MFlops    6944.44 MFlops   14611.87 MFlops
    126 :   3.777444e-06    12610.72 MFlops    7471.06 MFlops   12412.15 MFlops
    127 :   1.722574e-05    14723.33 MFlops    7168.44 MFlops   14373.74 MFlops
    128 :   1.758337e-06    15665.00 MFlops    7281.78 MFlops   15262.61 MFlops
    129 :   3.272295e-05    15945.69 MFlops    7006.74 MFlops   15496.38 MFlops
    130 :   2.609286e-05    15217.32 MFlops    7511.11 MFlops   14873.12 MFlops
    131 :   3.635883e-06    15652.50 MFlops    7225.68 MFlops   15254.22 MFlops
    132 :   1.984835e-05    12025.98 MFlops    2362.58 MFlops   11023.97 MFlops
    133 :   4.202127e-06    10267.92 MFlops    2177.11 MFlops    9489.96 MFlops
    134 :   2.533197e-05     1957.97 MFlops    1841.64 MFlops    1955.27 MFlops
    135 :   1.071393e-05     7981.75 MFlops    1756.63 MFlops    7410.83 MFlops
    136 :   3.933907e-06    10889.42 MFlops    1972.91 MFlops    9921.64 MFlops
    137 :   1.400709e-06    11466.46 MFlops    2310.03 MFlops   10568.77 MFlops
    138 :   4.798174e-05    14723.09 MFlops    2308.36 MFlops   13211.34 MFlops
    139 :   1.308322e-05    11588.43 MFlops    2306.99 MFlops   10680.61 MFlops
    140 :   1.341105e-06     8194.10 MFlops    2375.76 MFlops    7793.67 MFlops
    141 :   2.241135e-05    12396.78 MFlops    2240.11 MFlops   11326.86 MFlops
    142 :   1.949072e-05    18806.49 MFlops    6721.33 MFlops   18131.97 MFlops
    143 :   3.509223e-06    18391.24 MFlops    6816.33 MFlops   17771.15 MFlops
    144 :   4.321337e-05    18958.63 MFlops    6635.52 MFlops   18266.32 MFlops
    145 :   5.960464e-08    19039.03 MFlops    7008.33 MFlops   18398.82 MFlops
    146 :   1.102686e-05    18818.66 MFlops    7105.33 MFlops   18214.10 MFlops
    147 :   1.141429e-05     9930.51 MFlops    6914.88 MFlops    9844.65 MFlops
    148 :   1.028180e-05    18393.15 MFlops    7009.28 MFlops   17818.20 MFlops
    149 :   2.303720e-05    18113.34 MFlops    6831.08 MFlops   17541.53 MFlops
