From :   1  To : 200 Step =   1
   SIZE       Residual     Decompose            Solve           Total
     76 :   4.477704e-14    15202.63 MFlops    6601.14 MFlops   14485.84 MFlops
     77 :   1.475368e-14    14846.60 MFlops    5929.00 MFlops   14053.93 MFlops
     78 :   2.189120e-15    15623.11 MFlops    6953.14 MFlops   14933.45 MFlops
     79 :   1.557073e-16    15467.89 MFlops    7132.57 MFlops   14833.68 MFlops
     80 :   3.192649e-15    15515.15 MFlops    6400.00 MFlops   14755.56 MFlops
     81 :   1.911937e-14    15076.34 MFlops    5832.00 MFlops   14268.58 MFlops
     82 :   1.757829e-14    15809.84 MFlops    6724.00 MFlops   15090.17 MFlops
     83 :   2.367336e-14    15401.67 MFlops    6123.56 MFlops   14628.49 MFlops
     84 :   7.125599e-15    15965.09 MFlops    6272.00 MFlops   15157.33 MFlops
     85 :   4.513551e-15    15596.83 MFlops    6422.22 MFlops   14872.51 MFlops
     86 :   1.710306e-15    15705.09 MFlops    6574.22 MFlops   15002.71 MFlops
     87 :   1.857387e-14    15963.71 MFlops    6055.20 MFlops   15138.00 MFlops
     88 :   2.909831e-15    15940.87 MFlops    6195.20 MFlops   15154.92 MFlops
     89 :   1.519102e-14    15665.98 MFlops    6336.80 MFlops   14948.35 MFlops
     90 :   3.704715e-15    15934.43 MFlops    6480.00 MFlops   15218.18 MFlops
     91 :   1.190001e-14    15823.01 MFlops    6624.80 MFlops   15151.61 MFlops
     92 :   2.034393e-14    15973.09 MFlops    6771.20 MFlops   15315.81 MFlops
     93 :   7.362692e-15    15771.71 MFlops    6919.20 MFlops   15165.37 MFlops
     94 :   5.100514e-15    16049.93 MFlops    7068.80 MFlops   15443.10 MFlops
     95 :   5.202986e-15    16100.94 MFlops    6563.64 MFlops   15415.25 MFlops
     96 :   2.720966e-14    16049.63 MFlops    6702.55 MFlops   15398.89 MFlops
     97 :   2.399697e-15    13987.33 MFlops    3763.60 MFlops   12933.33 MFlops
     98 :   5.541111e-14    15492.87 MFlops    6402.67 MFlops   14865.96 MFlops
     99 :   1.396595e-13    16693.32 MFlops    6534.00 MFlops   15963.31 MFlops
