From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    146 :    21316.00 MFlops   0.000002 sec
    147 :    43218.00 MFlops   0.000001 sec
    148 :    43808.00 MFlops   0.000001 sec
    149 :    44402.00 MFlops   0.000001 sec
    150 :    45000.00 MFlops   0.000001 sec
    151 :    22801.00 MFlops   0.000002 sec
    152 :    46208.00 MFlops   0.000001 sec
    153 :    23409.00 MFlops   0.000002 sec
    154 :    23716.00 MFlops   0.000002 sec
    155 :    48050.00 MFlops   0.000001 sec
    156 :    24336.00 MFlops   0.000002 sec
    157 :    24649.00 MFlops   0.000002 sec
    158 :    24964.00 MFlops   0.000002 sec
    159 :    25281.00 MFlops   0.000002 sec
    160 :    25600.00 MFlops   0.000002 sec
    161 :    25921.00 MFlops   0.000002 sec
    162 :    26244.00 MFlops   0.000002 sec
    163 :    26569.00 MFlops   0.000002 sec
    164 :    26896.00 MFlops   0.000002 sec
    165 :    27225.00 MFlops   0.000002 sec
    166 :    27556.00 MFlops   0.000002 sec
    167 :    27889.00 MFlops   0.000002 sec
    168 :    28224.00 MFlops   0.000002 sec
    169 :    28561.00 MFlops   0.000002 sec
    170 :    28900.00 MFlops   0.000002 sec
    171 :    29241.00 MFlops   0.000002 sec
    172 :    29584.00 MFlops   0.000002 sec
    173 :    29929.00 MFlops   0.000002 sec
    174 :    30276.00 MFlops   0.000002 sec
    175 :    30625.00 MFlops   0.000002 sec
    176 :    30976.00 MFlops   0.000002 sec
    177 :    31329.00 MFlops   0.000002 sec
    178 :    31684.00 MFlops   0.000002 sec
    179 :    21360.67 MFlops   0.000003 sec
    180 :    21600.00 MFlops   0.000003 sec
    181 :    32761.00 MFlops   0.000002 sec
    182 :    22082.67 MFlops   0.000003 sec
    183 :    22326.00 MFlops   0.000003 sec
    184 :    22570.67 MFlops   0.000003 sec
    185 :    34225.00 MFlops   0.000002 sec
    186 :    23064.00 MFlops   0.000003 sec
    187 :    23312.67 MFlops   0.000003 sec
    188 :    23562.67 MFlops   0.000003 sec
    189 :    35721.00 MFlops   0.000002 sec
    190 :    24066.67 MFlops   0.000003 sec
    191 :    24320.67 MFlops   0.000003 sec
    192 :    24576.00 MFlops   0.000003 sec
    193 :    37249.00 MFlops   0.000002 sec
    194 :    25090.67 MFlops   0.000003 sec
    195 :    25350.00 MFlops   0.000003 sec
    196 :    38416.00 MFlops   0.000002 sec
    197 :    25872.67 MFlops   0.000003 sec
    198 :    26136.00 MFlops   0.000003 sec
    199 :    26400.67 MFlops   0.000003 sec
    200 :    26666.67 MFlops   0.000003 sec
