From :   1  To : 200 Step =   1
   SIZE       Flops              Time
 134x134 :   17578.84 MFlops   0.000365 s
 135x135 :   17732.43 MFlops   0.000370 s
 136x136 :   18479.02 MFlops   0.000363 s
 137x137 :   18482.32 MFlops   0.000371 s
 138x138 :   17787.29 MFlops   0.000394 s
 139x139 :   17510.15 MFlops   0.000409 s
 140x140 :   18022.99 MFlops   0.000406 s
 141x141 :   20368.54 MFlops   0.000367 s
 142x142 :   14912.96 MFlops   0.000512 s
 143x143 :   15289.97 MFlops   0.000510 s
 144x144 :   15023.82 MFlops   0.000530 s
 145x145 :   15252.66 MFlops   0.000533 s
 146x146 :   13924.55 MFlops   0.000596 s
 147x147 :   15628.65 MFlops   0.000542 s
 148x148 :   15492.43 MFlops   0.000558 s
 149x149 :   19176.52 MFlops   0.000460 s
 150x150 :   19565.22 MFlops   0.000460 s
 151x151 :   16815.39 MFlops   0.000546 s
 152x152 :   15926.57 MFlops   0.000588 s
 153x153 :    8835.22 MFlops   0.001081 s
 154x154 :   19134.32 MFlops   0.000509 s
 155x155 :   19282.20 MFlops   0.000515 s
 156x156 :   16986.20 MFlops   0.000596 s
 157x157 :   20038.28 MFlops   0.000515 s
 158x158 :   18748.96 MFlops   0.000561 s
 159x159 :   19887.09 MFlops   0.000539 s
 160x160 :   22021.51 MFlops   0.000496 s
 161x161 :   21609.22 MFlops   0.000515 s
 162x162 :   20688.70 MFlops   0.000548 s
 163x163 :   22081.57 MFlops   0.000523 s
 164x164 :   21702.06 MFlops   0.000542 s
 165x165 :   22224.49 MFlops   0.000539 s
 166x166 :   22757.69 MFlops   0.000536 s
 167x167 :   22178.40 MFlops   0.000560 s
 168x168 :   23158.15 MFlops   0.000546 s
 169x169 :   22903.01 MFlops   0.000562 s
 170x170 :   21945.28 MFlops   0.000597 s
 171x171 :   22372.31 MFlops   0.000596 s
 172x172 :   16608.56 MFlops   0.000817 s
 173x173 :   17499.68 MFlops   0.000789 s
 174x174 :   18010.34 MFlops   0.000780 s
 175x175 :   22649.23 MFlops   0.000631 s
 176x176 :   23677.64 MFlops   0.000614 s
 177x177 :   23287.07 MFlops   0.000635 s
 178x178 :   21004.66 MFlops   0.000716 s
 179x179 :   18099.69 MFlops   0.000845 s
 180x180 :   18210.77 MFlops   0.000854 s
 181x181 :   18259.40 MFlops   0.000866 s
 182x182 :   18457.15 MFlops   0.000871 s
 183x183 :   18445.41 MFlops   0.000886 s
 184x184 :   18963.48 MFlops   0.000876 s
 185x185 :   18844.12 MFlops   0.000896 s
 186x186 :   23378.22 MFlops   0.000734 s
 187x187 :   23564.70 MFlops   0.000740 s
 188x188 :   18573.51 MFlops   0.000954 s
 189x189 :   18734.01 MFlops   0.000961 s
 190x190 :    5775.39 MFlops   0.003167 s
 191x191 :   24068.64 MFlops   0.000772 s
 192x192 :   24867.42 MFlops   0.000759 s
 193x193 :   24577.97 MFlops   0.000780 s
 194x194 :   24677.26 MFlops   0.000789 s
 195x195 :   24716.25 MFlops   0.000800 s
 196x196 :   24697.13 MFlops   0.000813 s
 197x197 :   26932.18 MFlops   0.000757 s
 198x198 :   19166.40 MFlops   0.001080 s
 199x199 :   18746.59 MFlops   0.001121 s
 200x200 :    4515.95 MFlops   0.004724 s
