From :   1  To : 200 Step =   1 Side = L Uplo = U Trans = N Diag = U Loops = 1
   SIZE       Flops
      1 :        0.44 MFlops
      2 :         inf MFlops
      3 :         inf MFlops
      4 :      256.00 MFlops
      5 :      500.00 MFlops
      6 :      864.00 MFlops
      7 :     1372.00 MFlops
      8 :     2048.00 MFlops
      9 :     2916.00 MFlops
     10 :     4000.00 MFlops
     11 :     2662.00 MFlops
     12 :     6912.00 MFlops
     13 :     4394.00 MFlops
     14 :     5488.00 MFlops
     15 :     6750.00 MFlops
     16 :     4096.00 MFlops
     17 :     6550.67 MFlops
     18 :     7776.00 MFlops
     19 :     9145.33 MFlops
     20 :    10666.67 MFlops
     21 :     9261.00 MFlops
     22 :    10648.00 MFlops
     23 :     1013.92 MFlops
     24 :     3686.40 MFlops
     25 :     3676.47 MFlops
     26 :     3905.78 MFlops
     27 :     4631.29 MFlops
     28 :     3817.74 MFlops
     29 :     4645.52 MFlops
     30 :     3724.14 MFlops
     31 :     5674.48 MFlops
     32 :     4854.52 MFlops
     33 :     6534.00 MFlops
     34 :     6550.67 MFlops
     35 :     6860.00 MFlops
     36 :     5655.27 MFlops
     37 :     5065.30 MFlops
     38 :     5225.90 MFlops
     39 :     8181.93 MFlops
     40 :     7111.11 MFlops
     41 :     8354.06 MFlops
     42 :     8980.36 MFlops
     43 :     5390.31 MFlops
     44 :     8518.40 MFlops
     45 :     8678.57 MFlops
     46 :     7786.88 MFlops
     47 :    10129.07 MFlops
     48 :     9216.00 MFlops
     49 :    10230.35 MFlops
     50 :    10416.67 MFlops
     51 :    10011.40 MFlops
     52 :    11478.20 MFlops
     53 :    10827.42 MFlops
     54 :     9841.50 MFlops
     55 :    11279.66 MFlops
     56 :    10643.39 MFlops
     57 :    11758.29 MFlops
     58 :    11310.84 MFlops
     59 :    11570.65 MFlops
     60 :    11835.62 MFlops
     61 :    12437.32 MFlops
     62 :    12221.95 MFlops
     63 :    12822.92 MFlops
     64 :    11781.75 MFlops
     65 :    13077.38 MFlops
     66 :    12499.83 MFlops
     67 :    12798.43 MFlops
     68 :    12704.32 MFlops
     69 :    12882.71 MFlops
     70 :    12587.16 MFlops
     71 :    13255.96 MFlops
     72 :    12760.62 MFlops
     73 :    13649.72 MFlops
     74 :    13395.83 MFlops
     75 :    14062.50 MFlops
     76 :    13403.85 MFlops
     77 :    13627.85 MFlops
     78 :    14272.24 MFlops
     79 :    13416.03 MFlops
     80 :    14124.14 MFlops
     81 :    14970.17 MFlops
     82 :    14703.15 MFlops
     83 :    15146.68 MFlops
     84 :    14910.79 MFlops
     85 :    14281.98 MFlops
     86 :    14792.00 MFlops
     87 :    14633.40 MFlops
     88 :    14734.53 MFlops
     89 :    11749.48 MFlops
     90 :    24504.20 MFlops
     91 :    15223.66 MFlops
     92 :    15120.16 MFlops
     93 :    15248.47 MFlops
     94 :    16206.52 MFlops
     95 :    16025.70 MFlops
     96 :    28086.86 MFlops
     97 :    31745.15 MFlops
     98 :    30607.87 MFlops
     99 :    27526.21 MFlops
    100 :    29850.75 MFlops
    101 :    30081.78 MFlops
    102 :    29893.18 MFlops
    103 :    30144.19 MFlops
    104 :    32370.19 MFlops
    105 :    15912.37 MFlops
    106 :    32855.61 MFlops
    107 :    31411.36 MFlops
    108 :    32933.65 MFlops
    109 :    30651.57 MFlops
    110 :    39147.06 MFlops
    111 :    32562.64 MFlops
    112 :    34905.04 MFlops
    113 :    34768.60 MFlops
    114 :    30865.50 MFlops
    115 :    31038.27 MFlops
    116 :    32688.92 MFlops
    117 :    31715.11 MFlops
    118 :    32535.29 MFlops
    119 :    32563.46 MFlops
    120 :    33391.30 MFlops
    121 :    32655.50 MFlops
    122 :    32281.74 MFlops
    123 :    31144.22 MFlops
    124 :    33895.54 MFlops
    125 :    31502.02 MFlops
    126 :    35562.24 MFlops
    127 :    36742.30 MFlops
    128 :    33420.75 MFlops
    129 :    33673.55 MFlops
    130 :    33414.45 MFlops
    131 :    34061.98 MFlops
    132 :    33576.18 MFlops
    133 :    33019.47 MFlops
    134 :    34496.11 MFlops
    135 :    33819.59 MFlops
    136 :    41068.67 MFlops
    137 :    35345.06 MFlops
    138 :    18605.82 MFlops
    139 :    21701.97 MFlops
    140 :    27440.00 MFlops
    141 :    17438.39 MFlops
    142 :    23960.57 MFlops
    143 :    26766.20 MFlops
    144 :    18432.00 MFlops
    145 :    17959.50 MFlops
    146 :    30889.69 MFlops
    147 :    34248.23 MFlops
    148 :    28752.04 MFlops
    149 :    33668.69 MFlops
    150 :    34615.38 MFlops
    151 :    34173.21 MFlops
    152 :    36869.38 MFlops
    153 :    34521.22 MFlops
    154 :    35117.92 MFlops
    155 :    35048.24 MFlops
    156 :    36416.46 MFlops
    157 :    34863.90 MFlops
    158 :    36353.11 MFlops
    159 :    34802.42 MFlops
    160 :    36088.11 MFlops
    161 :    35669.07 MFlops
    162 :    34635.67 MFlops
    163 :    47590.63 MFlops
    164 :    37380.88 MFlops
    165 :    34356.60 MFlops
    166 :    35667.03 MFlops
    167 :    35621.13 MFlops
    168 :    37933.06 MFlops
    169 :    57291.50 MFlops
    170 :    37432.38 MFlops
    171 :    34663.51 MFlops
    172 :    36607.54 MFlops
    173 :    44159.63 MFlops
    174 :    39985.00 MFlops
    175 :    35201.15 MFlops
    176 :    38325.31 MFlops
    177 :    43322.13 MFlops
    178 :    36800.99 MFlops
    179 :    37182.10 MFlops
    180 :    37747.57 MFlops
    181 :    35454.36 MFlops
    182 :    36703.61 MFlops
    183 :    39034.95 MFlops
    184 :    38100.94 MFlops
    185 :    34411.01 MFlops
    186 :    38647.78 MFlops
    187 :    38750.83 MFlops
    188 :    39086.31 MFlops
    189 :    39830.50 MFlops
    190 :    41632.78 MFlops
    191 :    48726.37 MFlops
    192 :    37900.34 MFlops
    193 :    38859.77 MFlops
    194 :    39202.06 MFlops
    195 :    39336.21 MFlops
    196 :    38712.27 MFlops
    197 :    34322.66 MFlops
    198 :    37865.33 MFlops
    199 :    37661.17 MFlops
    200 :    39167.69 MFlops
