From :   1  To : 200 Step =   1 Inc_x = 1 Loops = 1
   SIZE       Flops
    155 :         inf MFlops   0.000000 sec
    156 :     1248.00 MFlops   0.000001 sec
    157 :         inf MFlops   0.000000 sec
    158 :         inf MFlops   0.000000 sec
    159 :         inf MFlops   0.000000 sec
    160 :         inf MFlops   0.000000 sec
    161 :     1288.00 MFlops   0.000001 sec
    162 :     1296.00 MFlops   0.000001 sec
    163 :     1304.00 MFlops   0.000001 sec
    164 :         inf MFlops   0.000000 sec
    165 :     1320.00 MFlops   0.000001 sec
    166 :     1328.00 MFlops   0.000001 sec
    167 :         inf MFlops   0.000000 sec
    168 :     1344.00 MFlops   0.000001 sec
    169 :     1352.00 MFlops   0.000001 sec
    170 :         inf MFlops   0.000000 sec
    171 :         inf MFlops   0.000000 sec
    172 :     1376.00 MFlops   0.000001 sec
    173 :     1384.00 MFlops   0.000001 sec
    174 :     1392.00 MFlops   0.000001 sec
    175 :     1400.00 MFlops   0.000001 sec
    176 :     1408.00 MFlops   0.000001 sec
    177 :     1416.00 MFlops   0.000001 sec
    178 :     1424.00 MFlops   0.000001 sec
    179 :     1432.00 MFlops   0.000001 sec
    180 :         inf MFlops   0.000000 sec
    181 :         inf MFlops   0.000000 sec
    182 :         inf MFlops   0.000000 sec
    183 :         inf MFlops   0.000000 sec
    184 :         inf MFlops   0.000000 sec
    185 :     1480.00 MFlops   0.000001 sec
    186 :         inf MFlops   0.000000 sec
    187 :         inf MFlops   0.000000 sec
    188 :     1504.00 MFlops   0.000001 sec
    189 :     1512.00 MFlops   0.000001 sec
    190 :         inf MFlops   0.000000 sec
    191 :         inf MFlops   0.000000 sec
    192 :     1536.00 MFlops   0.000001 sec
    193 :     1544.00 MFlops   0.000001 sec
    194 :         inf MFlops   0.000000 sec
    195 :         inf MFlops   0.000000 sec
    196 :     1568.00 MFlops   0.000001 sec
    197 :     1576.00 MFlops   0.000001 sec
    198 :     1584.00 MFlops   0.000001 sec
    199 :     1592.00 MFlops   0.000001 sec
    200 :     1600.00 MFlops   0.000001 sec
