From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    135 :    14580.00 MFlops  0.000005000 sec
    136 :    14796.80 MFlops  0.000005000 sec
    137 :        9.66 MFlops  0.007775000 sec
    138 :       55.44 MFlops  0.001374000 sec
    139 :    19321.00 MFlops  0.000004000 sec
    140 :    15680.00 MFlops  0.000005000 sec
    141 :    19881.00 MFlops  0.000004000 sec
    142 :    20164.00 MFlops  0.000004000 sec
    143 :    16359.20 MFlops  0.000005000 sec
    144 :    16588.80 MFlops  0.000005000 sec
    145 :    16820.00 MFlops  0.000005000 sec
    146 :    17052.80 MFlops  0.000005000 sec
    147 :    21609.00 MFlops  0.000004000 sec
    148 :    21904.00 MFlops  0.000004000 sec
    149 :    17760.80 MFlops  0.000005000 sec
    150 :    18000.00 MFlops  0.000005000 sec
    151 :    18240.80 MFlops  0.000005000 sec
    152 :    18483.20 MFlops  0.000005000 sec
    153 :    18727.20 MFlops  0.000005000 sec
    154 :    23716.00 MFlops  0.000004000 sec
    155 :    19220.00 MFlops  0.000005000 sec
    156 :    24336.00 MFlops  0.000004000 sec
    157 :    24649.00 MFlops  0.000004000 sec
    158 :    19971.20 MFlops  0.000005000 sec
    159 :    20224.80 MFlops  0.000005000 sec
    160 :    20480.00 MFlops  0.000005000 sec
    161 :    20736.80 MFlops  0.000005000 sec
    162 :    20995.20 MFlops  0.000005000 sec
    163 :    21255.20 MFlops  0.000005000 sec
    164 :    21516.80 MFlops  0.000005000 sec
    165 :    21780.00 MFlops  0.000005000 sec
    166 :      501.02 MFlops  0.000220000 sec
    167 :    15936.57 MFlops  0.000007000 sec
    168 :    16128.00 MFlops  0.000007000 sec
    169 :    19040.67 MFlops  0.000006000 sec
    170 :    19266.67 MFlops  0.000006000 sec
    171 :       76.35 MFlops  0.001532000 sec
    172 :    16905.14 MFlops  0.000007000 sec
    173 :    19952.67 MFlops  0.000006000 sec
    174 :    17300.57 MFlops  0.000007000 sec
    175 :    17500.00 MFlops  0.000007000 sec
    176 :    20650.67 MFlops  0.000006000 sec
    177 :    17902.29 MFlops  0.000007000 sec
    178 :    18105.14 MFlops  0.000007000 sec
    179 :    18309.14 MFlops  0.000007000 sec
    180 :    18514.29 MFlops  0.000007000 sec
    181 :    18720.57 MFlops  0.000007000 sec
    182 :    22082.67 MFlops  0.000006000 sec
    183 :    22326.00 MFlops  0.000006000 sec
    184 :    27084.80 MFlops  0.000005000 sec
    185 :    27380.00 MFlops  0.000005000 sec
    186 :    23064.00 MFlops  0.000006000 sec
    187 :    23312.67 MFlops  0.000006000 sec
    188 :    28275.20 MFlops  0.000005000 sec
    189 :    28576.80 MFlops  0.000005000 sec
    190 :    24066.67 MFlops  0.000006000 sec
    191 :    24320.67 MFlops  0.000006000 sec
    192 :    29491.20 MFlops  0.000005000 sec
    193 :    24832.67 MFlops  0.000006000 sec
    194 :    25090.67 MFlops  0.000006000 sec
    195 :    30420.00 MFlops  0.000005000 sec
    196 :    30732.80 MFlops  0.000005000 sec
    197 :    25872.67 MFlops  0.000006000 sec
    198 :    31363.20 MFlops  0.000005000 sec
    199 :    26400.67 MFlops  0.000006000 sec
    200 :    26666.67 MFlops  0.000006000 sec
