From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    135 :    14580.00 MFlops  0.000005000 sec
    136 :    12330.67 MFlops  0.000006000 sec
    137 :    12512.67 MFlops  0.000006000 sec
    138 :       58.33 MFlops  0.001306000 sec
    139 :      518.68 MFlops  0.000149000 sec
    140 :     9800.00 MFlops  0.000008000 sec
    141 :    11360.57 MFlops  0.000007000 sec
    142 :    13442.67 MFlops  0.000006000 sec
    143 :      442.14 MFlops  0.000185000 sec
    144 :    10368.00 MFlops  0.000008000 sec
    145 :    12014.29 MFlops  0.000007000 sec
    146 :    10658.00 MFlops  0.000008000 sec
    147 :    10804.50 MFlops  0.000008000 sec
    148 :    10952.00 MFlops  0.000008000 sec
    149 :    11100.50 MFlops  0.000008000 sec
    150 :    12857.14 MFlops  0.000007000 sec
    151 :    13029.14 MFlops  0.000007000 sec
    152 :    15402.67 MFlops  0.000006000 sec
    153 :    13376.57 MFlops  0.000007000 sec
    154 :    13552.00 MFlops  0.000007000 sec
    155 :    12012.50 MFlops  0.000008000 sec
    156 :    12168.00 MFlops  0.000008000 sec
    157 :    12324.50 MFlops  0.000008000 sec
    158 :    14265.14 MFlops  0.000007000 sec
    159 :    14446.29 MFlops  0.000007000 sec
    160 :    14628.57 MFlops  0.000007000 sec
    161 :    14812.00 MFlops  0.000007000 sec
    162 :    13122.00 MFlops  0.000008000 sec
    163 :    13284.50 MFlops  0.000008000 sec
    164 :    11953.78 MFlops  0.000009000 sec
    165 :    13612.50 MFlops  0.000008000 sec
    166 :    13778.00 MFlops  0.000008000 sec
    167 :    15936.57 MFlops  0.000007000 sec
    168 :    16128.00 MFlops  0.000007000 sec
    169 :    12693.78 MFlops  0.000009000 sec
    170 :    14450.00 MFlops  0.000008000 sec
    171 :    14620.50 MFlops  0.000008000 sec
    172 :    14792.00 MFlops  0.000008000 sec
    173 :    17102.29 MFlops  0.000007000 sec
    174 :    15138.00 MFlops  0.000008000 sec
    175 :    15312.50 MFlops  0.000008000 sec
    176 :    12390.40 MFlops  0.000010000 sec
    177 :    13924.00 MFlops  0.000009000 sec
    178 :      724.21 MFlops  0.000175000 sec
    179 :    16020.50 MFlops  0.000008000 sec
    180 :    12960.00 MFlops  0.000010000 sec
    181 :    16380.50 MFlops  0.000008000 sec
    182 :    18928.00 MFlops  0.000007000 sec
    183 :    19136.57 MFlops  0.000007000 sec
    184 :    16928.00 MFlops  0.000008000 sec
    185 :    17112.50 MFlops  0.000008000 sec
    186 :    19769.14 MFlops  0.000007000 sec
    187 :    17484.50 MFlops  0.000008000 sec
    188 :    17672.00 MFlops  0.000008000 sec
    189 :    17860.50 MFlops  0.000008000 sec
    190 :    18050.00 MFlops  0.000008000 sec
    191 :    18240.50 MFlops  0.000008000 sec
    192 :    18432.00 MFlops  0.000008000 sec
    193 :    18624.50 MFlops  0.000008000 sec
    194 :    18818.00 MFlops  0.000008000 sec
    195 :    19012.50 MFlops  0.000008000 sec
    196 :    17073.78 MFlops  0.000009000 sec
    197 :    17248.44 MFlops  0.000009000 sec
    198 :    17424.00 MFlops  0.000009000 sec
    199 :    17600.44 MFlops  0.000009000 sec
    200 :    17777.78 MFlops  0.000009000 sec
