From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    133x133 :     5054.00 MFlops   0.000007 sec
    134x134 :     5130.29 MFlops   0.000007 sec
    135x135 :     5207.14 MFlops   0.000007 sec
    136x136 :     5284.57 MFlops   0.000007 sec
    137x137 :     5362.57 MFlops   0.000007 sec
    138x138 :     5441.14 MFlops   0.000007 sec
    139x139 :     5520.29 MFlops   0.000007 sec
    140x140 :     4900.00 MFlops   0.000008 sec
    141x141 :     4970.25 MFlops   0.000008 sec
    142x142 :     5041.00 MFlops   0.000008 sec
    143x143 :     5112.25 MFlops   0.000008 sec
    144x144 :     4608.00 MFlops   0.000009 sec
    145x145 :     4672.22 MFlops   0.000009 sec
    146x146 :     4736.89 MFlops   0.000009 sec
    147x147 :     4802.00 MFlops   0.000009 sec
    148x148 :     4380.80 MFlops   0.000010 sec
    149x149 :     4933.56 MFlops   0.000009 sec
    150x150 :     4500.00 MFlops   0.000010 sec
    151x151 :     4560.20 MFlops   0.000010 sec
    152x152 :     4620.80 MFlops   0.000010 sec
    153x153 :     4681.80 MFlops   0.000010 sec
    154x154 :     4312.00 MFlops   0.000011 sec
    155x155 :     5338.89 MFlops   0.000009 sec
    156x156 :     5408.00 MFlops   0.000009 sec
    157x157 :     5477.56 MFlops   0.000009 sec
    158x158 :     5547.56 MFlops   0.000009 sec
    159x159 :      640.03 MFlops   0.000079 sec
    160x160 :     8533.33 MFlops   0.000006 sec
    161x161 :        5.48 MFlops   0.009461 sec
    162x162 :        5.43 MFlops   0.009668 sec
    163x163 :      185.80 MFlops   0.000286 sec
    164x164 :        5.74 MFlops   0.009379 sec
    165x165 :      539.11 MFlops   0.000101 sec
    166x166 :     6889.00 MFlops   0.000008 sec
    167x167 :     7968.29 MFlops   0.000007 sec
    168x168 :     7056.00 MFlops   0.000008 sec
    169x169 :     8160.29 MFlops   0.000007 sec
    170x170 :     7225.00 MFlops   0.000008 sec
    171x171 :     7310.25 MFlops   0.000008 sec
    172x172 :     8452.57 MFlops   0.000007 sec
    173x173 :     8551.14 MFlops   0.000007 sec
    174x174 :     8650.29 MFlops   0.000007 sec
    175x175 :     8750.00 MFlops   0.000007 sec
    176x176 :     8850.29 MFlops   0.000007 sec
    177x177 :     7832.25 MFlops   0.000008 sec
    178x178 :     7921.00 MFlops   0.000008 sec
    179x179 :     1335.04 MFlops   0.000048 sec
    180x180 :     7200.00 MFlops   0.000009 sec
    181x181 :     8190.25 MFlops   0.000008 sec
    182x182 :     8281.00 MFlops   0.000008 sec
    183x183 :     7442.00 MFlops   0.000009 sec
    184x184 :     7523.56 MFlops   0.000009 sec
    185x185 :     6845.00 MFlops   0.000010 sec
    186x186 :     7688.00 MFlops   0.000009 sec
    187x187 :     9991.14 MFlops   0.000007 sec
    188x188 :    10098.29 MFlops   0.000007 sec
    189x189 :    10206.00 MFlops   0.000007 sec
    190x190 :    10314.29 MFlops   0.000007 sec
    191x191 :    10423.14 MFlops   0.000007 sec
    192x192 :    10532.57 MFlops   0.000007 sec
    193x193 :     8277.56 MFlops   0.000009 sec
    194x194 :     7527.20 MFlops   0.000010 sec
    195x195 :     7605.00 MFlops   0.000010 sec
    196x196 :     7683.20 MFlops   0.000010 sec
    197x197 :     5970.62 MFlops   0.000013 sec
    198x198 :      732.79 MFlops   0.000107 sec
    199x199 :      414.67 MFlops   0.000191 sec
    200x200 :     5714.29 MFlops   0.000014 sec
