From :   1  To : 200 Step =   1 Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    122 :         inf MFlops   0.000000 sec
    123 :         inf MFlops   0.000000 sec
    124 :         inf MFlops   0.000000 sec
    125 :         inf MFlops   0.000000 sec
    126 :         inf MFlops   0.000000 sec
    127 :         inf MFlops   0.000000 sec
    128 :         inf MFlops   0.000000 sec
    129 :         inf MFlops   0.000000 sec
    130 :         inf MFlops   0.000000 sec
    131 :         inf MFlops   0.000000 sec
    132 :         inf MFlops   0.000000 sec
    133 :         inf MFlops   0.000000 sec
    134 :         inf MFlops   0.000000 sec
    135 :     1080.00 MFlops   0.000001 sec
    136 :         inf MFlops   0.000000 sec
    137 :         inf MFlops   0.000000 sec
    138 :         inf MFlops   0.000000 sec
    139 :         inf MFlops   0.000000 sec
    140 :         inf MFlops   0.000000 sec
    141 :         inf MFlops   0.000000 sec
    142 :         inf MFlops   0.000000 sec
    143 :         inf MFlops   0.000000 sec
    144 :         inf MFlops   0.000000 sec
    145 :     1160.00 MFlops   0.000001 sec
    146 :         inf MFlops   0.000000 sec
    147 :         inf MFlops   0.000000 sec
    148 :         inf MFlops   0.000000 sec
    149 :         inf MFlops   0.000000 sec
    150 :         inf MFlops   0.000000 sec
    151 :         inf MFlops   0.000000 sec
    152 :         inf MFlops   0.000000 sec
    153 :         inf MFlops   0.000000 sec
    154 :         inf MFlops   0.000000 sec
    155 :         inf MFlops   0.000000 sec
    156 :         inf MFlops   0.000000 sec
    157 :         inf MFlops   0.000000 sec
    158 :         inf MFlops   0.000000 sec
    159 :         inf MFlops   0.000000 sec
    160 :         inf MFlops   0.000000 sec
    161 :         inf MFlops   0.000000 sec
    162 :         inf MFlops   0.000000 sec
    163 :         inf MFlops   0.000000 sec
    164 :     1312.00 MFlops   0.000001 sec
    165 :         inf MFlops   0.000000 sec
    166 :         inf MFlops   0.000000 sec
    167 :         inf MFlops   0.000000 sec
    168 :     1344.00 MFlops   0.000001 sec
    169 :         inf MFlops   0.000000 sec
    170 :         inf MFlops   0.000000 sec
    171 :     1368.00 MFlops   0.000001 sec
    172 :         inf MFlops   0.000000 sec
    173 :         inf MFlops   0.000000 sec
    174 :     1392.00 MFlops   0.000001 sec
    175 :         inf MFlops   0.000000 sec
    176 :     1408.00 MFlops   0.000001 sec
    177 :         inf MFlops   0.000000 sec
    178 :         inf MFlops   0.000000 sec
    179 :         inf MFlops   0.000000 sec
    180 :         inf MFlops   0.000000 sec
    181 :     1448.00 MFlops   0.000001 sec
    182 :         inf MFlops   0.000000 sec
    183 :         inf MFlops   0.000000 sec
    184 :         inf MFlops   0.000000 sec
    185 :         inf MFlops   0.000000 sec
    186 :         inf MFlops   0.000000 sec
    187 :         inf MFlops   0.000000 sec
    188 :         inf MFlops   0.000000 sec
    189 :         inf MFlops   0.000000 sec
    190 :         inf MFlops   0.000000 sec
    191 :     1528.00 MFlops   0.000001 sec
    192 :         inf MFlops   0.000000 sec
    193 :         inf MFlops   0.000000 sec
    194 :     1552.00 MFlops   0.000001 sec
    195 :         inf MFlops   0.000000 sec
    196 :         inf MFlops   0.000000 sec
    197 :         inf MFlops   0.000000 sec
    198 :         inf MFlops   0.000000 sec
    199 :         inf MFlops   0.000000 sec
    200 :         inf MFlops   0.000000 sec
