From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1 Inc_y = 1
   SIZE       Flops		Time
    140 :    13066.67 MFlops   0.000003 sec
    141 :     9940.50 MFlops   0.000004 sec
    142 :    10082.00 MFlops   0.000004 sec
    143 :    13632.67 MFlops   0.000003 sec
    144 :    13824.00 MFlops   0.000003 sec
    145 :    10512.50 MFlops   0.000004 sec
    146 :    14210.67 MFlops   0.000003 sec
    147 :    14406.00 MFlops   0.000003 sec
    148 :    14602.67 MFlops   0.000003 sec
    149 :    11100.50 MFlops   0.000004 sec
    150 :    11250.00 MFlops   0.000004 sec
    151 :    11400.50 MFlops   0.000004 sec
    152 :    15402.67 MFlops   0.000003 sec
    153 :    15606.00 MFlops   0.000003 sec
    154 :    15810.67 MFlops   0.000003 sec
    155 :        2.30 MFlops   0.020935 sec
    156 :       39.19 MFlops   0.001242 sec
    157 :     9859.60 MFlops   0.000005 sec
    158 :     9985.60 MFlops   0.000005 sec
    159 :    12640.50 MFlops   0.000004 sec
    160 :    10240.00 MFlops   0.000005 sec
    161 :    12960.50 MFlops   0.000004 sec
    162 :    13122.00 MFlops   0.000004 sec
    163 :    13284.50 MFlops   0.000004 sec
    164 :    13448.00 MFlops   0.000004 sec
    165 :    13612.50 MFlops   0.000004 sec
    166 :       12.11 MFlops   0.004551 sec
    167 :    11155.60 MFlops   0.000005 sec
    168 :    11289.60 MFlops   0.000005 sec
    169 :     2596.45 MFlops   0.000022 sec
    170 :    14450.00 MFlops   0.000004 sec
    171 :    14620.50 MFlops   0.000004 sec
    172 :    14792.00 MFlops   0.000004 sec
    173 :    11971.60 MFlops   0.000005 sec
    174 :    15138.00 MFlops   0.000004 sec
    175 :    15312.50 MFlops   0.000004 sec
    176 :    15488.00 MFlops   0.000004 sec
    177 :    12531.60 MFlops   0.000005 sec
    178 :     5280.67 MFlops   0.000012 sec
    179 :    12816.40 MFlops   0.000005 sec
    180 :    16200.00 MFlops   0.000004 sec
    181 :    16380.50 MFlops   0.000004 sec
    182 :    16562.00 MFlops   0.000004 sec
    183 :    16744.50 MFlops   0.000004 sec
    184 :    16928.00 MFlops   0.000004 sec
    185 :    17112.50 MFlops   0.000004 sec
    186 :    17298.00 MFlops   0.000004 sec
    187 :    17484.50 MFlops   0.000004 sec
    188 :    14137.60 MFlops   0.000005 sec
    189 :    14288.40 MFlops   0.000005 sec
    190 :    18050.00 MFlops   0.000004 sec
    191 :    18240.50 MFlops   0.000004 sec
    192 :    14745.60 MFlops   0.000005 sec
    193 :    18624.50 MFlops   0.000004 sec
    194 :    18818.00 MFlops   0.000004 sec
    195 :    15210.00 MFlops   0.000005 sec
    196 :    15366.40 MFlops   0.000005 sec
    197 :    15523.60 MFlops   0.000005 sec
    198 :    19602.00 MFlops   0.000004 sec
    199 :    15840.40 MFlops   0.000005 sec
    200 :    13333.33 MFlops   0.000006 sec
