From :   1  To : 200 Step =   1 Uplo = U Inc_x = 1
   SIZE       Flops		Time
    141 :     9940.50 MFlops   0.000002 sec
    142 :    10082.00 MFlops   0.000002 sec
    143 :    10224.50 MFlops   0.000002 sec
    144 :    10368.00 MFlops   0.000002 sec
    145 :    10512.50 MFlops   0.000002 sec
    146 :    10658.00 MFlops   0.000002 sec
    147 :    10804.50 MFlops   0.000002 sec
    148 :    10952.00 MFlops   0.000002 sec
    149 :    11100.50 MFlops   0.000002 sec
    150 :    11250.00 MFlops   0.000002 sec
    151 :    11400.50 MFlops   0.000002 sec
    152 :    11552.00 MFlops   0.000002 sec
    153 :    11704.50 MFlops   0.000002 sec
    154 :    11858.00 MFlops   0.000002 sec
    155 :    12012.50 MFlops   0.000002 sec
    156 :    12168.00 MFlops   0.000002 sec
    157 :    12324.50 MFlops   0.000002 sec
    158 :    12482.00 MFlops   0.000002 sec
    159 :    12640.50 MFlops   0.000002 sec
    160 :    12800.00 MFlops   0.000002 sec
    161 :     1364.26 MFlops   0.000019 sec
    162 :    13122.00 MFlops   0.000002 sec
    163 :      120.77 MFlops   0.000220 sec
    164 :     8965.33 MFlops   0.000003 sec
    165 :    13612.50 MFlops   0.000002 sec
    166 :    13778.00 MFlops   0.000002 sec
    167 :    13944.50 MFlops   0.000002 sec
    168 :     9408.00 MFlops   0.000003 sec
    169 :     9520.33 MFlops   0.000003 sec
    170 :       27.42 MFlops   0.001054 sec
    171 :     9747.00 MFlops   0.000003 sec
    172 :     9861.33 MFlops   0.000003 sec
    173 :     9976.33 MFlops   0.000003 sec
    174 :    10092.00 MFlops   0.000003 sec
    175 :    10208.33 MFlops   0.000003 sec
    176 :    10325.33 MFlops   0.000003 sec
    177 :     1204.96 MFlops   0.000026 sec
    178 :    10561.33 MFlops   0.000003 sec
    179 :    16020.50 MFlops   0.000002 sec
    180 :     2700.00 MFlops   0.000012 sec
    181 :    10920.33 MFlops   0.000003 sec
    182 :     8281.00 MFlops   0.000004 sec
    183 :        6.72 MFlops   0.004984 sec
    184 :       33.69 MFlops   0.001005 sec
    185 :     6845.00 MFlops   0.000005 sec
    186 :       63.48 MFlops   0.000545 sec
    187 :        5.26 MFlops   0.006649 sec
    188 :       32.64 MFlops   0.001083 sec
    189 :      119.47 MFlops   0.000299 sec
    190 :       42.47 MFlops   0.000850 sec
    191 :        5.49 MFlops   0.006645 sec
    192 :       23.80 MFlops   0.001549 sec
    193 :       30.02 MFlops   0.001241 sec
    194 :       13.15 MFlops   0.002863 sec
    195 :    12675.00 MFlops   0.000003 sec
    196 :     3492.36 MFlops   0.000011 sec
    197 :     3880.90 MFlops   0.000010 sec
    198 :     3564.00 MFlops   0.000011 sec
    199 :       20.64 MFlops   0.001919 sec
    200 :       27.59 MFlops   0.001450 sec
