From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    136 :    14796.80 MFlops  0.000005000 sec
    137 :    15015.20 MFlops  0.000005000 sec
    138 :    12696.00 MFlops  0.000006000 sec
    139 :    12880.67 MFlops  0.000006000 sec
    140 :    13066.67 MFlops  0.000006000 sec
    141 :    13254.00 MFlops  0.000006000 sec
    142 :    13442.67 MFlops  0.000006000 sec
    143 :    11685.14 MFlops  0.000007000 sec
    144 :    16588.80 MFlops  0.000005000 sec
    145 :    12014.29 MFlops  0.000007000 sec
    146 :    14210.67 MFlops  0.000006000 sec
    147 :    14406.00 MFlops  0.000006000 sec
    148 :    14602.67 MFlops  0.000006000 sec
    149 :    14800.67 MFlops  0.000006000 sec
    150 :    15000.00 MFlops  0.000006000 sec
    151 :    13029.14 MFlops  0.000007000 sec
    152 :    15402.67 MFlops  0.000006000 sec
    153 :    15606.00 MFlops  0.000006000 sec
    154 :    15810.67 MFlops  0.000006000 sec
    155 :    16016.67 MFlops  0.000006000 sec
    156 :    19468.80 MFlops  0.000005000 sec
    157 :    16432.67 MFlops  0.000006000 sec
    158 :    19971.20 MFlops  0.000005000 sec
    159 :    16854.00 MFlops  0.000006000 sec
    160 :    17066.67 MFlops  0.000006000 sec
    161 :    17280.67 MFlops  0.000006000 sec
    162 :    17496.00 MFlops  0.000006000 sec
    163 :    17712.67 MFlops  0.000006000 sec
    164 :    21516.80 MFlops  0.000005000 sec
    165 :    18150.00 MFlops  0.000006000 sec
    166 :    18370.67 MFlops  0.000006000 sec
    167 :    18592.67 MFlops  0.000006000 sec
    168 :      896.00 MFlops  0.000126000 sec
    169 :    19040.67 MFlops  0.000006000 sec
    170 :    19266.67 MFlops  0.000006000 sec
    171 :    16709.14 MFlops  0.000007000 sec
    172 :    13148.44 MFlops  0.000009000 sec
    173 :    13301.78 MFlops  0.000009000 sec
    174 :    13456.00 MFlops  0.000009000 sec
    175 :    13611.11 MFlops  0.000009000 sec
    176 :    13767.11 MFlops  0.000009000 sec
    177 :    13924.00 MFlops  0.000009000 sec
    178 :    14081.78 MFlops  0.000009000 sec
    179 :    14240.44 MFlops  0.000009000 sec
    180 :    12960.00 MFlops  0.000010000 sec
    181 :    13104.40 MFlops  0.000010000 sec
    182 :    14721.78 MFlops  0.000009000 sec
    183 :    14884.00 MFlops  0.000009000 sec
    184 :    13542.40 MFlops  0.000010000 sec
    185 :      237.26 MFlops  0.000577000 sec
    186 :    19769.14 MFlops  0.000007000 sec
    187 :    19982.29 MFlops  0.000007000 sec
    188 :    20196.57 MFlops  0.000007000 sec
    189 :    17860.50 MFlops  0.000008000 sec
    190 :    20628.57 MFlops  0.000007000 sec
    191 :    18240.50 MFlops  0.000008000 sec
    192 :    21065.14 MFlops  0.000007000 sec
    193 :    21285.14 MFlops  0.000007000 sec
    194 :    21506.29 MFlops  0.000007000 sec
    195 :    19012.50 MFlops  0.000008000 sec
    196 :    21952.00 MFlops  0.000007000 sec
    197 :    19404.50 MFlops  0.000008000 sec
    198 :    22402.29 MFlops  0.000007000 sec
    199 :    19800.50 MFlops  0.000008000 sec
    200 :       17.65 MFlops  0.009067000 sec
