From :   1  To : 200 Step =   1 Uplo = U Trans = N  Diag = U Loops=1 Inc_x=1
   SIZE       Flops
    191 :    24320.67 MFlops  0.000006000 sec
    192 :    24576.00 MFlops  0.000006000 sec
    193 :    24832.67 MFlops  0.000006000 sec
    194 :    25090.67 MFlops  0.000006000 sec
    195 :    25350.00 MFlops  0.000006000 sec
    196 :    21952.00 MFlops  0.000007000 sec
    197 :    22176.57 MFlops  0.000007000 sec
    198 :    22402.29 MFlops  0.000007000 sec
    199 :    22629.14 MFlops  0.000007000 sec
    200 :    26666.67 MFlops  0.000006000 sec
