From :   1  To : 200 Step =   1 Trans = 'N' Inc_x = 1 Inc_y = 1 Loops = 1
   SIZE       Flops
    130x130 :    15022.22 MFlops   0.000009 sec
    131x131 :    13728.80 MFlops   0.000010 sec
    132x132 :    15488.00 MFlops   0.000009 sec
    133x133 :    14151.20 MFlops   0.000010 sec
    134x134 :    15960.89 MFlops   0.000009 sec
    135x135 :    16200.00 MFlops   0.000009 sec
    136x136 :    16440.89 MFlops   0.000009 sec
    137x137 :    16683.56 MFlops   0.000009 sec
    138x138 :    19044.00 MFlops   0.000008 sec
    139x139 :    17174.22 MFlops   0.000009 sec
    140x140 :    15680.00 MFlops   0.000010 sec
    141x141 :    15904.80 MFlops   0.000010 sec
    142x142 :    20164.00 MFlops   0.000008 sec
    143x143 :    20449.00 MFlops   0.000008 sec
    144x144 :    18432.00 MFlops   0.000009 sec
    145x145 :    16820.00 MFlops   0.000010 sec
    146x146 :    18947.56 MFlops   0.000009 sec
    147x147 :    15715.64 MFlops   0.000011 sec
    148x148 :    17523.20 MFlops   0.000010 sec
    149x149 :    14800.67 MFlops   0.000012 sec
    150x150 :    16363.64 MFlops   0.000011 sec
    151x151 :      945.12 MFlops   0.000193 sec
    152x152 :    14217.85 MFlops   0.000013 sec
    153x153 :      634.82 MFlops   0.000295 sec
    154x154 :    14594.46 MFlops   0.000013 sec
    155x155 :    16016.67 MFlops   0.000012 sec
    156x156 :     2863.06 MFlops   0.000068 sec
    157x157 :    14085.14 MFlops   0.000014 sec
    158x158 :    14265.14 MFlops   0.000014 sec
    159x159 :    14446.29 MFlops   0.000014 sec
    160x160 :    14628.57 MFlops   0.000014 sec
    161x161 :    14812.00 MFlops   0.000014 sec
    162x162 :    14996.57 MFlops   0.000014 sec
    163x163 :    14170.13 MFlops   0.000015 sec
    164x164 :    15369.14 MFlops   0.000014 sec
    165x165 :    14520.00 MFlops   0.000015 sec
    166x166 :    14696.53 MFlops   0.000015 sec
    167x167 :    14874.13 MFlops   0.000015 sec
    168x168 :    15052.80 MFlops   0.000015 sec
    169x169 :    14280.50 MFlops   0.000016 sec
    170x170 :    16514.29 MFlops   0.000014 sec
    171x171 :    16709.14 MFlops   0.000014 sec
    172x172 :    15778.13 MFlops   0.000015 sec
    173x173 :    17102.29 MFlops   0.000014 sec
    174x174 :    16147.20 MFlops   0.000015 sec
    175x175 :    16333.33 MFlops   0.000015 sec
    176x176 :    19062.15 MFlops   0.000013 sec
    177x177 :     1080.31 MFlops   0.000232 sec
    178x178 :    15842.00 MFlops   0.000016 sec
    179x179 :    13490.95 MFlops   0.000019 sec
    180x180 :    15247.06 MFlops   0.000017 sec
    181x181 :    13104.40 MFlops   0.000020 sec
    182x182 :    13946.95 MFlops   0.000019 sec
    183x183 :    14100.63 MFlops   0.000019 sec
    184x184 :    13542.40 MFlops   0.000020 sec
    185x185 :    13690.00 MFlops   0.000020 sec
    186x186 :    13838.40 MFlops   0.000020 sec
    187x187 :    17484.50 MFlops   0.000016 sec
    188x188 :    20196.57 MFlops   0.000014 sec
    189x189 :    19051.20 MFlops   0.000015 sec
    190x190 :    26254.55 MFlops   0.000011 sec
    191x191 :    26531.64 MFlops   0.000011 sec
    192x192 :    22685.54 MFlops   0.000013 sec
    193x193 :    17528.94 MFlops   0.000017 sec
    194x194 :    18818.00 MFlops   0.000016 sec
    195x195 :    15210.00 MFlops   0.000020 sec
    196x196 :    18078.12 MFlops   0.000017 sec
    197x197 :    15523.60 MFlops   0.000020 sec
    198x198 :    18448.94 MFlops   0.000017 sec
    199x199 :    17600.44 MFlops   0.000018 sec
    200x200 :    17777.78 MFlops   0.000018 sec
